,Unnamed: 0,Title,City,MinSalary,MaxSalary,company,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requirements,Terms,Key_skills,Days
10,10,IT-рекрутер,Санкт-Петербург,53706.0,119666.0,EdgeCase Technology,2020-11-30T21:10:42+0300,От 1 года до 3 лет,Полная занятость,Полный день, Добрый день! ,   Сбор пожеланий/требований у кандидатов   Мониторинг подходящих вакансий   Отклик на вакансии от имени кандидата   Информирования кандидатов о статусе по компаниям   Формирование отчета о работе   ,   Свободный английский язык   Возможность работать удаленно   Опыт работы в IT-рекрутменте от 6 месяцев   ,   Условия обсуждаются индивидуально   Возможность выйти на хороший заработок с большой премиальной составляющей   , Английский язык; Поиск информации в интернет; Рекрутмент; IT-рекрутмент; Подбор персонала; IT Recruitment;,46
11,11,IT-рекрутер,Москва,82142.0,148545.0,Азбука вкуса,2020-12-02T09:51:58+0300,От 3 до 6 лет,Полная занятость,Полный день," Азбука Вкуса - это не только розничные магазины, а ещё и огромный e-commerce, который делает сильная инхаус команда: архитекторов, аналитиков, программистов, тестировщиков и не только. ",,,, Recruitment; Внутренние коммуникации; Оценка персонала; Обучение и развитие; Адаптация; Мотивация;,44
12,12,IT Аналитик,Москва,114066.0,200000.0,FunBox,2020-12-02T15:36:58+0300,От 3 до 6 лет,Полная занятость,Удаленная работа," Мы одна из немногих компаний, которая разрабатывает высоконагруженные сервисы (и не только) для крупных мобильных операторов. Наша компания растет, а вместе с ней растет и штат отдела системного анализа. Наша главная цель - создание качественного продукта, а аналитик - важный член команды, помогающий ее достичь. Чего вы НЕ найдете у нас  ",,  Что мы ожидаем от вас  ,, UML; BPMN; TCP/IP; HTTP; Системный анализ; REST; API; JSON API; UI; работа с требованиями;,44
13,13,IT Специалист,Москва,60065.0,76380.0,Норникель,2020-12-03T15:22:03+0300,От 3 до 6 лет,Полная занятость,Полный день,"  Вакансия открыта в ООО ""Норникель - Общий центр обслуживания"" (дочернее общество ПАО ""ГМК ""Норильский никель"")  ","   Управление жизненным циклом, объемом, потребности в ресурсах и стоимости ИТ-услуг;   Курирование процессов изменения существующих и заключения новых доходных и расходных договоров;   Участие в формировании годового бюджета подразделения;   Разработка и согласование положений, инструкций, стандартов и регламентов оказания ИТ-услуг;   Контроль исполнения SLA и OLA по обращениям;   Оценка эффективности и качества процессов и схем взаимодействия участников предоставления ИТ-услуг, разработка и реализация мероприятий по их повышению.   ","   Опыт работы сервис-менеджером/руководителем ИТ-отдела от 3 лет;   Прохождение курсов ITIL Foundation, OSA, PPO;   Опытный пользователь MS Office.   ","   Работа в крупной федеральной компании с официальным оформлением;   Достойный уровень заработной платы (обсуждается с успешным кандидатом), премия по итогам года;   ДМС, включая стоматологию и полис выезжающего за рубеж;   Командировки (до 10% от рабочего времени).   ", IT; ITIL;,43
14,14,IT-рекрутер,Москва,82142.0,148545.0,MERLION,2020-12-03T13:09:02+0300,От 1 года до 3 лет,Полная занятость,Полный день," Добрый день, коллеги! ","   Осуществление полного цикла подбора персонала на вакансии в сфере IT (разработчиков Front-End, Back-end, инженеров DevOps, программистов MS SQL, руководителей IT - проектов и многих других);   Адаптация новых сотрудников, сопровождение на период исп.срока;   Построение эффективных и прочных коммуникаций с Тимлидами;   Организация Meetup;   Анализ hr-рынка в области IT, потребностей кандидатов, мониторинг конкурентов;   Отслеживание тенденций в ИТ-рекрутменте;   Развитие HR-бренда компании;   Участие в HR проектах компании.   ","   Успешный опыт работы ИТ - рекрутером от 1 года;   Успешный опыт закрытия сложных IT-вакансий;   Навыки ""прямого поиска"" (в том числе поиск в соц.сетях, по рекомендациям, в профильных сообществах);   Клиентоориентированный подход к заказчику, глубокое погружение и понимание специфики каждой вакансии;   Активная жизненная позиция, инициативность, вариативность, отличные коммуникативные навыки, умение работать в режиме многозадачности в компании с высокой динамикой развития.   ",   Заработная плата по результатам собеседования;   График работы 5 дней в неделю с 10.00 до 18.30;   Комфортабельный офис;   Шаговая доступность от ст. м. Мякинино (гибкий офис).   ,,43
15,15,Project manager,Москва,88545.0,114068.0,Ростелеком,2020-12-03T15:43:01+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Ростелеком запустил трансформацию в   IT-компанию.  ,"   Ведение проектов по IT проектам (со стороны бизнеса) под руководством наставника:   Планирование, анализ, регулирование и завершение проектов.   Управление коммуникациями, рисками, проблемами, сроками, ресурсами, предметной областью реализуемых проектов.   Разработка предложений по формированию проектных команд, управление проектными командами.   Методологическая помощь владельцам проектов в формировании требований к результатам проектов.   Подготовка и предоставление отчетности о реализации проектов.   Организация взаимодействия участников проектов.   ",   Высшее образование   Опыт управления IT проектами (опционально)    Опыт в роли ведущего аналитика или Team Lead   Опыт работы в IT компании или IT отделе    ,   Официальное трудоустройство в соответствии с ТК РФ с первого рабочего дня.   Конкурентную заработную плату.   Квартальные и годовые бонусы.   ДМС + стоматология.   Компенсацию фитнеса.   Интересную программу внутреннего и внешнего обучения.   , Работа в команде; Управление рисками; Деловая коммуникация; Анализ рисков;,43
16,16,Project manager,Москва,110000.0,114068.0,Файндо,2020-12-01T17:24:10+0300,От 3 до 6 лет,Полная занятость,Полный день,  Мы ищем айти-папу:   ,"   Техническая поддержка пользователей (Help Desk), в т.ч. и удаленная   Закупка оборудования, настройка, ремонт, полная поддержка работоспособности железа компании   Опыт в настройке сетевого оборудования: камеры POE, маршрутизаторы tp-link.   Создание и редактирование пользователей, добавление прав и групп доступа в Azure Active Directory, Google Workspace (ex G Suite)   Установка ОС Windows, Linux на офисные ПК.   Помощь пользователям в установке ПО, разрешение затруднений, которые у них возникают в работе с ПО и сервисами (G Suite. Zoom, Slack и т.д.)   Инвентаризация оборудования и лицензий   Документирование инфраструктуры СКС и ее составляющих   ", Условия: ,"   Офис на территории технопарка в 7 минутах пешком от м. ""Отрадное""   Гибкий график   Испытательный срок 3 мес.   ДМС после успешного прохождения испытательного срока.   ", Active Directory; Helpdesk; Windows 7; Linux; Настройка DNS; Настройка ПК; Техническая поддержка; Google Docs; G Suite; Информационная безопасность;,45
17,17,IT-рекрутер,Санкт-Петербург,53706.0,119666.0,MadRabbit,2020-12-03T13:52:08+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,  Requirements:  ,,,, Рекрутмент;,43
18,18,IT-рекрутер,Москва,80000.0,148545.0,NOMIA,2020-12-03T14:51:31+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  NOMIA  – облачная система для автоматизации различных бизнесов, связанных с продажами любого вида. ",,"   Успешный опыт в IT - рекрутинге от года (Frontend, Backend, System Analyst, DevOps, QA, Product Manager, Architect).   Успешный опыт в закрытии вакансии других профессиональных областей: бухгалтер, маркетолог, менеджер по продажам и т.д.    Обязательно  знание современных рабочих инструментов для сорсинга и сёрчинга Специалистов, а также навыки X-ray или Boolean search.   Понимание разницы в языках программирования.   Самостоятельность в принятии решений, чуткость и внимательность.   Умение располагать к себе людей.   Непрерывное профессиональное развитие и интерес к области HR.   Отличные коммуникативные навыки. Способность лаконично и грамотно презентовать Компанию Соискателю с учётом его профессиональной специфики.   ",, Кадровое делопроизводство; Рекрутмент; Подбор персонала; Внутренние коммуникации; Адаптация персонала;,43
19,19,IT-рекрутер,Москва,100000.0,150000.0,Сиридар,2020-12-02T14:51:53+0300,От 3 до 6 лет,Полная занятость,Удаленная работа,  Возможность удаленной работы  ,"   Качественно и своевременно находить таланты и закрывать вакансии ;     Вести полный цикл подбора: активный поиск в разных источниках, телефонные интервью, собеседования, курирование выполнения тестовых заданий, сопровождение выходов;   Участвовать в HR-проектах: адаптация, организация мероприятий, работа с hr-брендом и т.д.   Частично помогать в ведении документооборота;   ",,"   ​​​Высокая заработная плата плюс процент от закрытой вакансии, а также процент от прибыли проекта.   Возможность полной удаленной работы.    Основной офис разработки в экологически чистом районе Санкт Петербурга  с отдельным жилым гостевым комплексом и собственным  аюрведическим шеф поваром (так как мы заботимся о здоровье наших сотрудников)   возможность быстрого карьерного роста в дружной команде профессионалов с огромным опытом.   регулярные тимбилдинги и рабочие поездки в Санкт-Петербурге за счет компании.   ДМС после прохождения испытательного срока.   ", Подбор персонала; Рекрутмент; Внутренние коммуникации; Собеседование; Работа в команде;,44
20,20,IT-рекрутер,Санкт-Петербург,53706.0,119666.0,Айтива,2020-12-03T19:32:33+0300,Нет опыта,Полная занятость,Гибкий график," Привет! Мы ITIVA - рекрутинговое агентство в IT.  Мы подбираем разработчиков для IT компаний в России и Европе.  Сейчас мы расширяем команду и ищем себе сорсера и рекрутера. Готовы рассмотреть кандидатов и без опыта работы. Если ты проявляешь интерес к IT сфере, хочешь решать уникальные кейсы и помогать людям - будем рады видеть тебя в нашей команде.   Тебе предстоит:  ",,,, Английский язык; Подбор персонала; Грамотная речь; Поиск информации в интернет; Телефонное интервью; Работа в команде; Аналитическое мышление; Грамотность; Работа с большим объемом информации;,43
21,21,IT manager,Москва,70208.0,137142.0,Capital Group,2020-12-01T15:59:37+0300,От 3 до 6 лет,Полная занятость,Полный день,"  Pentahotel   Москва, Арбат  отель 4* международной сети Pentahotels приглашает присоединиться к своей дружной команде  ИТ менеджера . ",   Обеспечение технического оснащения отеля.   Обеспечение технической поддержки пользователей и гостей отеля.   Обеспечение информационной безопасности компании на всех уровнях.   Обеспечение работоспособности системы коммуникации и связи.   Установка и обслуживание оргтехники.   Работа с кассовым оборудованием.   Планирование бюджета ИТ отдела.   ,"   Высшее профессиональное (техническое) образование;   Знание английского языка   желательно;   Знание нормативных актов по информационной защите персональных данных;   Коммуникабельность, вежливость;   Умение работать в команде, самостоятельно ставить задачи, контролировать свои зоны ответственности.   ","   Работа в необычном пространстве, молодежном коллективе и непринужденной атмосфере в самом центре Москвы;   Оформление согласно Трудового Кодекса РФ, график работы 5/2;   Корпоративное питание, мобильная связь.   ",,45
22,22,Project manager,Москва,150000.0,114068.0,PAINTGROUP,2020-12-01T17:34:25+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"   Выявлять самостоятельно, а также разбираться с поступающими задачами по автоматизации как внутренних бизнес-процессов и учета, так и по реализации внешних ИТ проектов компании;   Всесторонний анализ задачи, формулирование базовой концепции, как будет решаться задача, согласование и утверждение этой концепции с заказчиками проекта;   Формулирование детализированного ТЗ для программистов на основе концепции. Доведение этого ТЗ до программиста, консультирование программиста в процессе разработки проекта;   Тестирование и финальное внедрение проекта (включая разработку обучающих материалов, обучение пользователей и продвижение этого проекта среди пользователей);   Все необходимое взаимодействие с Заказчиком на всех этапах проекта, а также презентация проектов перед клиентами организации (если это внешний проект).   ","   Профильное высшее техническое образование;   Опыт в программировании (разработке ПО);   Знание базовых принципов построения систем управления баз данных (СУБД);   Опыт работы с Microsoft Navision Axapta (желательно);   Опыт программирования в 1С приветствуется;   Способность четко формулировать мысли (как устно, так и письменно);   Хорошая обучаемость и умение обучать;   Хорошие навыки презентаций.   ",     Доход от 150000 в месяц;     Оформление в соответствии с ТК РФ;     Перспектива карьерного и материального роста;       Питание за счёт компании;       Бесплатная парковка на территории офиса.     , Управление проектами; Разработка технических заданий; 1С программирование; СУБД; Разработка концепции; Постановка задач разработчикам; Проведение презентаций; Оптимизация бизнес-процессов; Navision Axapta;,45
23,23,IT manager,Санкт-Петербург,80000.0,105000.0,АКМЭ сервис,2020-12-01T15:15:16+0300,От 3 до 6 лет,Полная занятость,Полный день," Мы - компания  EnjoyPRO  по разработке ПО, входим в группу компаний АКМЭ (реализующую проекты в различных сегментах рынка уже 15 лет!) победителя в конкурсе «Сделано в России» за высокие показатели качества профессиональной деятельности в 2019 году. ","   Проведение собеседований.   Ресурсный менеджмент — распределение разработчиков между текущими проектами, формирование команд для новых проектов, контроль коммуникаций сотрудников с заказчиком.   Повышение качества учета рабочего времени.   Коммуникации с заказчиками— согласование изменений рабочего времени разработчиков, сбор обратной связи.   Управление зарплатами разработчиков на всех этапах.   ",   Опыт руководства IT-проектами.   Умение работать с распределенными командами.   Умение вести переговоры.   Готовность работать в высоком темпе в режиме многозадачности.   Желателен опыт разработки в прошлом.   ,"   Оклад от 80 000 р.   График работы 5/2, c 10.00 до 19.00.   Возможность удаленного сотрудничества.   Возможность профессионального и карьерного роста - в динамично развивающейся компании.   Обучение за счёт компании.   Оформление по ТК РФ.   Команда профессионалов, гибкие процессы.   Развитая корпоративная культура.   Офис рядом с м. Московские ворота.   Релокационный пакет.   ", Управление бизнес процессами;,45
24,24,IT Специалист,Санкт-Петербург,42222.0,71250.0,STIHL,2020-12-01T17:55:21+0300,От 3 до 6 лет,Полная занятость,Полный день," STIHL - лидер отрасли и международная группа предприятий, задающая технические стандарты для бензопил и других инструментов. Мы являемся динамично развивающейся компанией и готовы предложить увлекательные задачи, открыть перед Вами интересные перспективы развития. ","   Осуществление первого уровня поддержки пользователей;   Поддержка серверов и сетевой инфраструктуры;   Проектирование, установка, обновление и учёт информационных систем и оборудования;   Реализация и поддержка глобальных ИТ проектов на региональном уровне   Обеспечение информационной безопасности;   Взаимодействие с поставщиками ИТ услуг – провайдеры услуг связи, поставщики оборудования   ","   Техническое образование является преимуществом;   Свободный английский язык обязателен (письменный и устный);   Опыт в ИТ не менее 3 лет, особенно с серверными продуктами Microsoft;   Опыт проектирования и установки информационной инфраструктуры и систем;   Способность мыслить с опережением, предупреждать проблемы, вести переговоры, гибкость;   Способность расставлять приоритеты, выполняя несколько задач;   Хорошие навыки общения.   ","   Официальное трудоустройство;   Конкурентоспособный уровень заработной платы;   Возможность годового премирования по результатам работы после первого года работы в компании;   ДМС (включая стоматологию) + страхование жизни от несчастных случаев после 6 месяцев работы в компании;   Пятидневная рабочая неделя, возможность гибкого начала рабочего дня;   Комфортабельный офис, уютное рабочее пространство;   Дружный и отзывчивый коллектив;   Офис в шаговой доступности от ст. м. «Обводный канал» (5 мин).   ", Английский язык; Информационные технологии; Обработка изображений; Автоматизация технологических процессов; Teamleading;,45
25,25,IT-рекрутер,Санкт-Петербург,53706.0,119666.0,Сити лайф,2020-12-03T13:18:42+0300,От 1 года до 3 лет,Полная занятость,Полный день,   CITYLIFE    — ЭТО ИНТЕЛЛЕКТУАЛЬНАЯ ЭКОСИСТЕМА ДЛЯ ПОВСЕДНЕВНОЙ ЖИЗНИ И БИЗНЕСА.  ,,,, Recruitment; Грамотная речь; Прямой поиск;,43
26,26,IT-рекрутер,Москва,82142.0,148545.0,EasyHiring,2020-12-02T11:07:57+0300,Нет опыта,Стажировка,Полный день,"  В команде рекрутингового агентства EasyHiring открыта вакансия ""Младший IT рекрутер (Стажёр)"".   ",,"    Готовность работать не менее четырёх полных рабочих дней в неделю (минимум 35 часов в ""стандартные рабочие часы"");    Студенты 4-5 курсов и выпускники 2015-2020гг;   Стремление развиваться в сфере оценки и подбора персонала;   Интерес к рынку новых технологий, рекламы и креатива;   Умение и желание много общаться с людьми (в том числе по телефону);   Готовность быть на связи 24/7 (в «светлое» время суток - обязательно);   Ответственность, проактивность, стрессоустойчивость, отличные навыки тайм-менеджмента, грамотная устная и письменная речь, «здоровые» занудность и перфекционизм;   Активная жизненная позиция и природная способность заводить/поддерживать полезные знакомства, умение делать это предметно;   Готовность и умение/желание научиться продавать: услуги агентства и профили кандидатов - клиентам, компанию и должность - соискателям (речь про форму подачи информации, не путать с холодными продажами);   Умение находить нужную информацию любыми способами;   Техническое образование, английский язык и навыки SMM будут являться преимуществом;    Аналитические способности, внимательность, высокая работоспособность, яркие коммуникативные данные и любовь к людям обязательны!    ",,,44
27,27,IT-рекрутер,Санкт-Петербург,300.0,119666.0,Toughbyte,2020-12-03T10:06:35+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,"  Toughbyte  – это международная компания, которая занимается рекрутингом разработчиков программного обеспечения на постоянную и проектную работу. Среди наших клиентов как крупные компании, так и стартапы в Европе и США. Мы существуем на рынке уже 5 лет и продолжаем стремительно расти и развиваться. Наши основатели – это талантливые менеджеры с серьезной технической экспертизой и опытом работы в крупнейших российских и европейских компаниях. ",," -  Уверенное владение английским языком  – мы работаем с международными клиентами, и это требование обязательное ",, Английский язык; IT Recruitment;,43
28,28,IT редактор,Санкт-Петербург,20000.0,,Николаева Наталья Юрьевна,2020-12-02T13:06:57+0300,Нет опыта,Частичная занятость,Удаленная работа," В IT-стартап, посвященный диалоговому маркетингу и автоматизации коммуникаций, на длительный срок требуется специалист по написанию и редактуре текстов (статей, лонгридов, интервью, а также постов для соцсетей). "," - Совместно с основателями, генерировать идеи для нового контента ", - Понимание IT сферы , - Работа из любой точки мира , Редактирование; Написание статей; CMS Wordpress; Написание текстов; Английский язык; Наполнение контентом; Копирайтинг; Редактирование текстов; Креативность; Корректура текстов;,44
